name,category,majorcategory,is_movie,caption,pretty_name,path
EarthNow: Tropical Widening,extras,Air,Yes,/shared/sos/media/extras/earthnow/tropical_widening/tropical_widening.en_US.srt,,/shared/sos/media/extras/earthnow/tropical_widening/playlist.sos
EarthNow: The State of our Lakes,earthnow,,Yes,/shared/sos/media/extras/earthnow/lakes/lakes.en_US.srt,,/shared/sos/media/extras/earthnow/lakes/playlist.sos
NCA5: The State of Climate Science and Inspiring Solutions,extras,"People, Air, Water",Yes,/shared/sos/media/extras/nca5/nca5.en_US.srt,,/shared/sos/media/extras/nca5/playlist.sos
Cities Through Time,extras,"Land, People",Yes,/shared/sos/media/extras/cities/cities.en_US.srt,,/shared/sos/media/extras/cities/playlist.sos
The Only Thing that is Constant is Change,extras,People,Yes,/shared/sos/media/extras/aop_change/aop_change.en_US.srt,,/shared/sos/media/extras/aop_change/playlist.sos
"Weather Satellites: Past, Present, and Future",astronomy,Space,Yes,/shared/sos/media/extras/ssec_satellites/ssec_satellites.en_US.srt,,/shared/sos/media/extras/ssec_satellites/playlist.sos
Flow: Currents and Climate,extras,Water,Yes,/shared/sos/media/extras/flow_smm/flow_smm.en_US.srt,,/shared/sos/media/extras/flow_smm/playlist.sos
ClimateBits: Ozone Hole,extras,Air,Yes,/shared/sos/media/extras/climatebits/ozone_hole/ozone_hole.en_US.srt,,/shared/sos/media/extras/climatebits/ozone_hole/playlist.sos
ClimateBits: UV Index,extras,Air,Yes,/shared/sos/media/extras/climatebits/uv_index/uv_index.en_US.srt,,/shared/sos/media/extras/climatebits/uv_index/playlist.sos
ClimateBits: Phytoplankton,extras,Water,Yes,/shared/sos/media/extras/climatebits/phytoplankton/phytoplankton.en_US.srt,,/shared/sos/media/extras/climatebits/phytoplankton/playlist.sos
"ClimateBits: Fast Carbon, Slow Carbon",extras,"Air, People",Yes,/shared/sos/media/extras/climatebits/carbon/carbon.en_US.srt,,/shared/sos/media/extras/climatebits/carbon/playlist.sos
ClimateBits: Carbon Dioxide,extras,Air,Yes,/shared/sos/media/extras/climatebits/carbon_dioxide/carbon_dioxide.en_US.srt,,/shared/sos/media/extras/climatebits/carbon_dioxide/playlist.sos
ClimateBits: Monsoons,extras,Water,Yes,/shared/sos/media/extras/climatebits/monsoon/monsoon.en_US.srt,,/shared/sos/media/extras/climatebits/monsoon/playlist.sos
ClimateBits: Urban Heat Islands (Spanish),extras,"Land, People",Yes,,,/shared/sos/media/extras/climatebits/urban_heat_islands/spanish/playlist.sos
ClimateBits: Urban Heat Islands,extras,"Land, People",Yes,/shared/sos/media/extras/climatebits/urban_heat_islands/urban_heat_islands.en_US.srt,,/shared/sos/media/extras/climatebits/urban_heat_islands/playlist.sos
ClimateBits: Solar Radiation,extras,"Air, Space",Yes,/shared/sos/media/extras/climatebits/solar_radiation/solar_radiation.en_US.srt,,/shared/sos/media/extras/climatebits/solar_radiation/playlist.sos
ClimateBits: Albedo,extras,"Air, Land, Snow and Ice",Yes,/shared/sos/media/extras/climatebits/albedo/albedo.en_US.srt,,/shared/sos/media/extras/climatebits/albedo/playlist.sos
ClimateBits: El Nino,extras,Water,Yes,/shared/sos/media/extras/climatebits/el_nino/el_nino.en_US.srt,,/shared/sos/media/extras/climatebits/el_nino/playlist.sos
ClimateBits: Air Quality,extras,Air,Yes,/shared/sos/media/extras/climatebits/air_quality/air_quality.en_US.srt,,/shared/sos/media/extras/climatebits/air_quality/playlist.sos
ClimateBits: Ozone Layer,extras,Air,Yes,/shared/sos/media/extras/climatebits/ozone_layer/ozone_layer.en_US.srt,,/shared/sos/media/extras/climatebits/ozone_layer/playlist.sos
GOES-16 Tracks the Big Three,extras,Air,Yes,/shared/sos/media/extras/goes16-hurricanes/goes16-hurricanes.en_US.srt,,/shared/sos/media/extras/goes16-hurricanes/playlist.sos
Loop,extras,"Water, Air",Yes,/shared/sos/media/extras/loop/loop.en_US.srt,,/shared/sos/media/extras/loop/playlist.sos
Largest,extras,Space,Yes,/shared/sos/media/extras/largest/largest.en_US.srt,,/shared/sos/media/extras/largest/playlist.sos
NOAA in Five Minutes,extras,,No,,,/shared/sos/media/extras/noaa_five_min/playlist.sos
SOS Promo Video,extras,,No,,,/shared/sos/media/extras/sos_video/playlist.sos
Acidifying Oceans: Oceans and Climate Change,extras,Water,Yes,/shared/sos/media/extras/acidifying-oceans/acidifying-oceans.en_US.srt,,/shared/sos/media/extras/acidifying-oceans/playlist.sos
Tsunami - 5-year Anniversary,extras,Water,Yes,/shared/sos/media/extras/tsunami/tsunami.en_US.srt,,/shared/sos/media/extras/tsunami/playlist.sos
Seeking Common Ground on Climate: Beijing Air Pollution,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/common_ground/tragedy_commons/playlist.sos
Seeking Common Ground on Climate: Top 10 CO2 Emitting Nations (2010),live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/common_ground/2010_emissions_rankings/playlist.sos
"Solar Eclipse Simulation (NASA) - April 8, 2024",live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/celestial_dance/nasa_2024/playlist.sos
Oxygen Minimum Zones: Oxidation States 1 - Aerobic,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/Oxygen_Min_Zone_Nloss/aerobic1/playlist.sos
Oxygen Minimum Zones: Research Question,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/Oxygen_Min_Zone_Nloss/research_question/playlist.sos
Oxygen Minimum Zones: Research Locations,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/Oxygen_Min_Zone_Nloss/locations/playlist.sos
Oxygen Minimum Zones: Oxidation States 2 - Aerobic,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/Oxygen_Min_Zone_Nloss/aerobic2/playlist.sos
Oxygen Minimum Zones: Credits,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/Oxygen_Min_Zone_Nloss/credits/playlist.sos
Oxygen Minimum Zones: World Ocean Atlas Nitrate Station Locations (2013),live_programs,,No,,,/shared/sos/media/extras/live_programs/Oxygen_Min_Zone_Nloss/WOA13/playlist.sos
Oxygen Minimum Zones: Oxidation States 5 - Energy FLow,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/Oxygen_Min_Zone_Nloss/energy_flow/playlist.sos
Oxygen Minimum Zones: Oxidation States 4 - ANaerobic Redox,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/Oxygen_Min_Zone_Nloss/aerobic_anaerobic/playlist.sos
3P: Planetary Comparisons - Earth Mars Venus,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/three_planets/EarthMarsVenus/playlist.sos
3P: Venus,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/three_planets/Venus/WithClouds/playlist.sos
3P: Mars Base Map,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/three_planets/Mars/BaseMap/playlist.sos
Maven: Wet Mars with Magnetic Fields,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/wet_mars_magnetic_fields/playlist.sos
MAVEN: Curiosity Panorama PIP,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/panorama/playlist.sos
Maven: Mars Landing Sites,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/mars_landingsites_2016/playlist.sos
MAVEN: Curiosity Panorama PIP,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/pano_pip/playlist.sos
Maven: Mars Earth split,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/mars_earth/playlist.sos
Maven: MAVEN over Red Mars Atmosphere captured by MRO,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/maven/maven_orbit/playlist.sos
Maven: Wet Mars Landing Sites,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/wet_mars_landingsites_2016/playlist.sos
Maven: Wet Mars,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/wet_mars/playlist.sos
Maven: Early Mars Aurora,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/early_mars_aurora/playlist.sos
MAVEN: Curiosity PIP,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/curiosity_pip/playlist.sos
MAVEN: Mariner PIP,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/mariner_pip/playlist.sos
Mars: MAVEN Sputtering video,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/mars_sputtering/playlist.sos
Mars: Channels,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/waterfeatures/channels/playlist.sos
Mars: Deltas,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/waterfeatures/deltas/playlist.sos
Maven: Water Features Comparison,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/waterfeatures/playlist.sos
Maven: Mars Diffuse Aurora,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/mars_diffuse_aurora/playlist.sos
Maven: MAVEN over Red Mars Atmosphere captured by MRO,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/maven/atmosphere/playlist.sos
Maven: Mars Solar Wind,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/mars_solar_wind/playlist.sos
MAVEN: Yellow Sun,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/yellow_sun/playlist.sos
MAVEN: Spirit/Opportunity PIP,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/spirit_pip/playlist.sos
Maven: Dry Mars,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/maven/dry_mars/playlist.sos
Feats and Footprints: Population Movie,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/feats_footprints/population/playlist.sos
Water Falls: Aquarius Sea Surface Salinity 2012,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/waterfalls/sea_surface_salinity/playlist.sos
"Water Falls: Pulsing Global Rivers, the Run-off Component of the Water Cycle",live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/waterfalls/pulsing_river/playlist.sos
Water Falls: Human Impacts: Droughts,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/waterfalls/pips/droughts/playlist.sos
Water Falls: Human impact: Floods,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/waterfalls/pips/floods/playlist.sos
Water Falls: Human impact: Landslides,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/waterfalls/pips/landslides/playlist.sos
Water Falls: filling water bottles over GRACE,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/waterfalls/waterbottles/playlist.sos
Water Falls: OSCAR Ocean Current,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/waterfalls/oscar_3958/playlist.sos
Water Falls: GEOS Hurricane Sandy Wind Speed over Water Vapor,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/waterfalls/GEOS_wip/playlist.sos
Water Falls: Umbrellas,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/waterfalls/umbrellas/playlist.sos
"Water Falls: Global TRMM Rainfall, Aug - Sep 2003",live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/waterfalls/trmm_rainfall_2003/playlist.sos
Water Falls: Water Cycle Components,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/waterfalls/water_cycle_post/playlist.sos
Water Falls: GEOS-5 Modeled Evaporation,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/waterfalls/evaporation/playlist.sos
Deep-Sea Vents: Vent Site Mata Volcanoes,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/vents/vent_site_Mata/playlist.sos
Deep-Sea Vents: Black,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/vents/black_sphere/playlist.sos
Deep-Sea Vents: Vent Site Mid-Cayman Rise,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/vents/vent_site_Mid-Cayman/playlist.sos
Deep-Sea Vents: Vent Site Mariana Back-Arc,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/vents/vent_site_Mariana/playlist.sos
Deep-Sea Vents: Vent Cross Section,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/vents/vent_cross_section/playlist.sos
Deep-Sea Vents: Vent Site Galapagos Rift,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/vents/vent_site_Galapagos/playlist.sos
Deep-Sea Vents: Vent Discoveries Animation,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/vents/vent_discoveries_animation/playlist.sos
Deep-Sea Vents: Vent Site Axial Seamount,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/vents/vent_site_Axial/playlist.sos
Deep-Sea Vents: Vent Site Loihi,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/vents/vent_site_Loihi/playlist.sos
"Goldilocks: Venus Transit, June 5 - 6, 2012, STEREO/SDO 304",live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/goldilocks/venus_transit/304/playlist.sos
Hurricane Sandy - GLAPS Radar Reflectivity (dBZ),live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/sandy/glaps_sandy/ptt/playlist.sos
Hurricane Sandy - GLAPS SFC Pressure + Wind + Windspeed (kt),live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/sandy/glaps_sandy/wd0/playlist.sos
Hurricane Sandy - GLAPS SFC Temperature (F) + Wind (kt),live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/sandy/glaps_sandy/tt/playlist.sos
Hurricane Sandy - GLAPS 500mb Height + Wind + Windspeed (kt),live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/sandy/glaps_sandy/p01/playlist.sos
Hurricane Sandy - Enhanced IR Sat,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/sandy/enhanced/playlist.sos
Hurricane Sandy (Real-Time Linear IR),live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/sandy/linear/playlist.sos
Hurricane Sandy - SST Anomaly,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/sandy/sst_anom/playlist.sos
Seal and Seabird Tracks: Pacific Ocean,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/animals_on_the_move/dataset_004/playlist.sos
Bird Migration Patterns - Western Hemisphere,,Site-Custom,Yes,,,/shared/sos/media/extras/live_programs/animals_on_the_move/dataset_003/playlist.sos
Surface Winds: CCMP Winds only June-October2011 model,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/animals_on_the_move/dataset_005/playlist.sos
Deep-Sea Vents: Vent Site Galapagos Rift,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/animals_on_the_move/dataset_010/playlist.sos
Warm Forecast for Coral Reefs,,Site-Custom,Yes,,,/shared/sos/media/extras/live_programs/animals_on_the_move/dataset_014/playlist.sos
Oceans flows at surface and 2000m depth,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/animals_on_the_move/dataset_013/playlist.sos
Mitigation or Adaptation: You Decide - Blue Marble with Scenario PIPs,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/mitigation_adaptation/scenarios/playlist.sos
Black Hole,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/g_is_for_galaxy/black_hole/playlist.sos
Hubble Revelations,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/g_is_for_galaxy/hubble_revelations/playlist.sos
Wind Speeds Offshore at 10m to 90m above the Earth's Surface,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/energy_story/offshore_wind/playlist.sos
"Renewable Energy Resources Combined: Solar, Wind, and Geothermal Heat",live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/energy_story/combo/playlist.sos
Solar Irradiance,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/energy_story/solar/playlist.sos
Heat Conductivity,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/energy_story/heat/playlist.sos
Wind Speeds at 50m above the Earth's Surface - Monthly and Annual Average 1983 - 1993,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/energy_story/wind/playlist.sos
Space Weather - Total Electron Content (TEC),,,No,,,/shared/sos/media/extras/live_programs/space_weather/tec/playlist.sos
Climate Change and Health: Dengue Fever with Mosquito Layer,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/climate_change_health/dengue/playlist.sos
Climate Change and Health: Blue Marble with Maslow Pyramid Layer,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/climate_change_health/maslow/playlist.sos
Global Average Temperature Anomaly 2012,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/climate_change_health/2012_temp_anom/playlist.sos
Climate Change and Health: Duffy Negative,live_programs,Live_Programs,No,,,/shared/sos/media/extras/live_programs/climate_change_health/duffy_negative/playlist.sos
Sea Surface Salinity from GFDL 2.6 (simple),oceans,,No,,,/shared/sos/media/extras/live_programs/one_ocean/Salinity/SSS/playlist.sos
Coral Reefs in Hot Water (Archived 5/23/2023),extras,Water,Yes,,,/shared/sos/media/extras/live_programs/amnh/coral_reefs/playlist.sos
Ozone's Slow Recovery - 2013  (Archived 5/23/2023),extras,Air,Yes,,,/shared/sos/media/extras/live_programs/amnh/ozone/playlist.sos
Protecting Wildlife in a Changing Climate,extras,Land,Yes,,,/shared/sos/media/extras/live_programs/amnh/wildlife/playlist.sos
Arctic Sea Ice: The New Normal (Archived 5/23/2023),extras,"Water, Snow and Ice",Yes,,,/shared/sos/media/extras/live_programs/amnh/sea_ice/playlist.sos
Earth's Green Carbon Machine (Archived 5/23/2023),extras,"Water, Land",Yes,,,/shared/sos/media/extras/live_programs/amnh/green_machine/playlist.sos
El Nino and La Nina Impacts (Archived 5/23/2023),extras,Water,Yes,,,/shared/sos/media/extras/live_programs/amnh/enso/playlist.sos
Warm Forecast for Coral Reefs (Archived 5/23/2023),extras,Water,Yes,,,/shared/sos/media/extras/live_programs/amnh/coral_reefs_forecast/playlist.sos
Greening of the Arctic (Archived 5/23/2023),extras,Land,Yes,,,/shared/sos/media/extras/live_programs/amnh/green_arctic/playlist.sos
Water Underground (Archived 5/23/2023),extras,Water,Yes,,,/shared/sos/media/extras/live_programs/amnh/water_underground/playlist.sos
Deciphering Uncertainty in a Changing Climate: Model versus Satellite,live_programs,Live_Programs,Yes,,,/shared/sos/media/extras/live_programs/uncertainty/model_v_sat/playlist.sos
