Topic,Group,Interest Subcategory,Interest Item,National Org,National Org Description,National Org Description Spanish,National Org Link,Local Org,Local Org Description,Local Org Description Spanish,Local Org Link,Local Org 2,Local Org 2 Description,Local Org 2 Description Spanish,Local Org 2 Link,Local Org 3,Local Org 3 Description,Local Org 3 Description Spanish,Local Org 3 Link
Build Green Communities,Sports or Rec Group,Innovating & Designing,Problem Solving,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecotrust,Volunteer at events and support programs that connect people to sustainable regional food systems.,Participa de forma voluntaria en eventos y apoya programas que conectan a las personas con sistemas alimentarios regionales sostenibles.,https://ecotrust.org/
Build Green Communities,Sports or Rec Group,Innovating & Designing,Inventing,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecotrust,Volunteer at events and support programs that connect people to sustainable regional food systems.,Participa de forma voluntaria en eventos y apoya programas que conectan a las personas con sistemas alimentarios regionales sostenibles.,https://ecotrust.org/
Build Green Communities,Arts or Hobbies Group,Innovating & Designing,Problem Solving,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecotrust,Volunteer at events and support programs that connect people to sustainable regional food systems.,Participa de forma voluntaria en eventos y apoya programas que conectan a las personas con sistemas alimentarios regionales sostenibles.,https://ecotrust.org/
Build Green Communities,Arts or Hobbies Group,Innovating & Designing,Inventing,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecotrust,Volunteer at events and support programs that connect people to sustainable regional food systems.,Participa de forma voluntaria en eventos y apoya programas que conectan a las personas con sistemas alimentarios regionales sostenibles.,https://ecotrust.org/
Build Green Communities,School or Career Group,Innovating & Designing,Problem Solving,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecotrust,Volunteer at events and support programs that connect people to sustainable regional food systems.,Participa de forma voluntaria en eventos y apoya programas que conectan a las personas con sistemas alimentarios regionales sostenibles.,https://ecotrust.org/
Build Green Communities,School or Career Group,Innovating & Designing,Inventing,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecotrust,Volunteer at events and support programs that connect people to sustainable regional food systems.,Participa de forma voluntaria en eventos y apoya programas que conectan a las personas con sistemas alimentarios regionales sostenibles.,https://ecotrust.org/
Build Green Communities,Family or Household,Innovating & Designing,Problem Solving,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecotrust,Volunteer at events and support programs that connect people to sustainable regional food systems.,Participa de forma voluntaria en eventos y apoya programas que conectan a las personas con sistemas alimentarios regionales sostenibles.,https://ecotrust.org/
Build Green Communities,Family or Household,Innovating & Designing,Inventing,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecotrust,Volunteer at events and support programs that connect people to sustainable regional food systems.,Participa de forma voluntaria en eventos y apoya programas que conectan a las personas con sistemas alimentarios regionales sostenibles.,https://ecotrust.org/
Build Green Communities,Community Group,Innovating & Designing,Problem Solving,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,NAYA Family Center,"Support Indigenous-led community building through culture, education, housing, and climate justice initiatives.","Apoya la construcción de comunidades lideradas por indígenas a través de  iniciativas de cultura, educación, vivienda y justicia climática.",https://nayapdx.org/
Build Green Communities,Community Group,Innovating & Designing,Inventing,Engineering Without Borders USA,Volunteer your skills to design and implement community-driven sustainability projects.,Ofrece tus habilidades para diseñar e implementar proyectos de sostenibilidad impulsados ​​por la comunidad.,https://www.ewb-usa.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,NAYA Family Center,"Support Indigenous-led community building through culture, education, housing, and climate justice initiatives.","Apoya la construcción de comunidades lideradas por indígenas a través de  iniciativas de cultura, educación, vivienda y justicia climática.",https://nayapdx.org/
Build Green Communities,Faith-Based Group,Innovating & Designing,Problem Solving,GreenFaith,Take part in global interfaith campaigns that unite moral leadership with grassroots climate action.,Participa en campañas globales  interreligiosas que unen el liderazgo moral con la acción climática comunitaria.,https://greenfaith.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecumenical Ministries of Oregon (EMO),Advance climate justice and resilience through faith-based networks and Creation Justice programs.,Promueve la justicia climática y la resiliencia a través de redes religiosas y programas de Creation Justice.,https://emoregon.org/creation-justice/
Build Green Communities,Faith-Based Group,Innovating & Designing,Inventing,GreenFaith,Take part in global interfaith campaigns that unite moral leadership with grassroots climate action.,Participa en campañas globales  interreligiosas que unen el liderazgo moral con la acción climática comunitaria.,https://greenfaith.org/,PSU Center for Public Interest Design,"Apply design solutions to support sustainable, equitable communities.",Aplica soluciones de diseño para apoyar comunidades sostenibles y equitativas.,https://www.pdx.edu/public-interest-design/,Albina Vision Trust,Help shape community-led development that centers Portland’s Black community and builds climate-resilient neighborhoods.,Ayuda a impulsar un desarrollo comunitario que se centra en la comunidad negra de Portland que construya vecindarios resilientes al clima.,https://albinavision.org/,Ecumenical Ministries of Oregon (EMO),Advance climate justice and resilience through faith-based networks and Creation Justice programs.,Promueve la justicia climática y la resiliencia a través de redes religiosas y programas de Creation Justice.,https://emoregon.org/creation-justice/
Build Green Communities,Sports or Rec Group,Organizing & Leading,Bringing people together,Climate Action Network (CAN),Join a worldwide network of civil society organizations advancing climate action and policy solutions.,Únete a una red mundial de organizaciones de la sociedad civil que promueven la acción climática y soluciones políticas.,https://climatenetwork.org/,YEJA (Youth Environmental Justice Alliance),Organize with youth in Portland to advance environmental and climate justice.,Organízate con jóvenes de Portland para fomentar la justicia ambiental y climática.,https://www.opalpdx.org/yeja/,Rogue Climate,Organize community campaigns for clean energy and climate justice across Southern Oregon.,Organiza campañas comunitarias a favor de la energía limpia y la justicia climática en el sur de Oregón.,https://rogueclimate.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/
Build Green Communities,Sports or Rec Group,Organizing & Leading,Talking to people,Climate Action Network (CAN),Join a worldwide network of civil society organizations advancing climate action and policy solutions.,Únete a una red mundial de organizaciones de la sociedad civil que promueven la acción climática y soluciones políticas.,https://climatenetwork.org/,YEJA (Youth Environmental Justice Alliance),Organize with youth in Portland to advance environmental and climate justice.,Organízate con jóvenes de Portland para fomentar la justicia ambiental y climática.,https://www.opalpdx.org/yeja/,Rogue Climate,Organize community campaigns for clean energy and climate justice across Southern Oregon.,Organiza campañas comunitarias a favor de la energía limpia y la justicia climática en el sur de Oregón.,https://rogueclimate.org/,Depave,"Help remove pavement and create green spaces for healthier, more climate-resilient communities.",Ayuda a remover el pavimento y a crear espacios verdes para lograr comunidades más saludables y resilientes al clima.,https://depave.org/
Build Green Communities,Arts or Hobbies Group,Organizing & Leading,Bringing people together,Climate Action Network (CAN),Join a worldwide network of civil society organizations advancing climate action and policy solutions.,Únete a una red mundial de organizaciones de la sociedad civil que promueven la acción climática y soluciones políticas.,https://climatenetwork.org/,Making Earth Cool,"Create science-based, funny, and creative content and participate in events to inspire climate stewardship.",Crea contenido científico divertido y creativo y participa en eventos para inspirar la administración climática.,https://makingearthcool.com/,350PDX,"Join Portland’s climate justice movement to take part in advocacy, creative art actions, and community learning opportunities.","Únete al movimiento por la justicia climática de Portland para participar en actividades de apoyo, acciones artísticas creativas y oportunidades de aprendizaje comunitario.",https://350pdx.org/,Our Children’s Trust,Support youth-led legal actions that hold governments accountable for protecting a stable climate and a livable future.,Apoya las acciones legales lideradas por jóvenes para hacer que los gobiernos se hagan responsables de proteger un clima estable y un futuro habitable.,https://www.ourchildrenstrust.org/
Build Green Communities,Arts or Hobbies Group,Organizing & Leading,Talking to people,Climate Action Network (CAN),Join a worldwide network of civil society organizations advancing climate action and policy solutions.,Únete a una red mundial de organizaciones de la sociedad civil que promueven la acción climática y soluciones políticas.,https://climatenetwork.org/,Making Earth Cool,"Create science-based, funny, and creative content and participate in events to inspire climate stewardship.",Crea contenido científico divertido y creativo y participa en eventos para inspirar la administración climática.,https://makingearthcool.com/,350PDX,"Join Portland’s climate justice movement to take part in advocacy, creative art actions, and community learning opportunities.","Únete al movimiento por la justicia climática de Portland para participar en actividades de apoyo, acciones artísticas creativas y oportunidades de aprendizaje comunitario.",https://350pdx.org/,Our Children’s Trust,Support youth-led legal actions that hold governments accountable for protecting a stable climate and a livable future.,Apoya las acciones legales lideradas por jóvenes para hacer que los gobiernos se hagan responsables de proteger un clima estable y un futuro habitable.,https://www.ourchildrenstrust.org/
Build Green Communities,School or Career Group,Organizing & Leading,Bringing people together,Climate Action Network (CAN),Join a worldwide network of civil society organizations advancing climate action and policy solutions.,Únete a una red mundial de organizaciones de la sociedad civil que promueven la acción climática y soluciones políticas.,https://climatenetwork.org/,Our Future,"Support youth leaders across Oregon organizing for equity, climate justice, and inclusive climate action.","Apoya a líderes juveniles de Oregón que se organizan por la equidad, la justicia climática y la acción climática inclusiva.",https://www.ourfutureoregon.org/,Rogue Climate,Organize community campaigns for clean energy and climate justice across Southern Oregon.,Organiza campañas comunitarias a favor de la energía limpia y la justicia climática en el sur de Oregón.,https://rogueclimate.org/,Portland Youth Climate Council,Join a student-led coalition organizing campaigns for urgent local climate solutions.,Únete a una coalición liderada por estudiantes que organiza campañas para encontrar soluciones urgentes al cambio climático a nivel local.,https://pdxclimatecouncil.wixsite.com/youth
Build Green Communities,School or Career Group,Organizing & Leading,Talking to people,Climate Action Network (CAN),Join a worldwide network of civil society organizations advancing climate action and policy solutions.,Únete a una red mundial de organizaciones de la sociedad civil que promueven la acción climática y soluciones políticas.,https://climatenetwork.org/,Our Future,"Support youth leaders across Oregon organizing for equity, climate justice, and inclusive climate action.","Apoya a líderes juveniles de Oregón que se organizan por la equidad, la justicia climática y la acción climática inclusiva.",https://www.ourfutureoregon.org/,Rogue Climate,Organize community campaigns for clean energy and climate justice across Southern Oregon.,Organiza campañas comunitarias a favor de la energía limpia y la justicia climática en el sur de Oregón.,https://rogueclimate.org/,Portland Youth Climate Council,Join a student-led coalition organizing campaigns for urgent local climate solutions.,Únete a una coalición liderada por estudiantes que organiza campañas para encontrar soluciones urgentes al cambio climático a nivel local.,https://pdxclimatecouncil.wixsite.com/youth
Build Green Communities,Family or Household,Organizing & Leading,Bringing people together,Climate Action Network (CAN),Join a worldwide network of civil society organizations advancing climate action and policy solutions.,Únete a una red mundial de organizaciones de la sociedad civil que promueven la acción climática y soluciones políticas.,https://climatenetwork.org/,Friends of Trees,"Plant and care for urban trees, restore natural areas, and build climate resilience in your community.","Planta y cuida árboles urbanos, restaura áreas naturales y desarrolla resiliencia climática en tu comunidad.",https://friendsoftrees.org/,Next Up,Empower young Oregonians to engage in democracy and advocate for progressive climate and social justice policies.,Empodera a la juventud de Oregón para que participen en la democracia y aboguen por políticas progresistas de justicia social y climática.,https://nextuporegon.org/,Our Children’s Trust,Support youth-led legal actions that hold governments accountable for protecting a stable climate and a livable future.,Apoya las acciones legales lideradas por jóvenes para hacer que los gobiernos se hagan responsables de proteger un clima estable y un futuro habitable.,https://www.ourchildrenstrust.org/
